"TÍTULO","TIPO","NÚMERO OFICIAL","EXERCÍCIO","ORGÃO","VALOR (R$)","SITUAÇÃO","INÍCIO","FIM"
"2560 - CT. UFC/FCPC - PROINFO 2010","CONTRATO","P14370/10-28","2010","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","","FINALIZADO","31/03/2015","31/03/2015"
"2585 - CV.FINEP/UFC/FCPC-CTINFRA 09","CONVÊNIO","01.10.0597.00","2015","FINEP - FINANCIADORA DE ESTUDOS E PROJETOS","6.445.930,00","EXECUÇÃO","01/12/2010","01/09/2017"
"2603 - CT -  UFC/FCPC - USO PEDAGOGICO DO LAPTOP EDUCACIONAL","CONTRATO","P20472/10-82","2010","UNIVERSIDADE FEDERAL DO CEARA","1.466.978,36","FINALIZADO","10/11/2010","26/11/2013"
"2607 - CT.BNDES/UFC/FCPC - CONSTRUÇÃO DO CPDM","CONTRATO","10.2.1320.1","2010","BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL - BNDES","25.489.000,00","EXECUÇÃO","01/12/2010","31/01/2017"
"2610 - CT -  UFC/FCPC - CURSOS DE GRADUACAO UAB 3º E 4º SEMESTRES","CONTRATO","P20467/10-42","2010","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","2.235.623,50","FINALIZADO","25/11/2010","24/11/2014"
"2619 - CT. UFC/FCPC - CURSOS DE GRADUACAO UAB - 5º E 6º SEMESTRES","CONTRATO","P20461/10-66","2016","UNIVERSIDADE FEDERAL DO CEARÁ - UFC","2.456.328,00","FINALIZADO","25/11/2010","24/11/2014"
"2699 - BNB/FCPC- I SEMINÁRIO DE AUDIOVISUAL E DESENVOLVIMENTO SUSTENTAVEL","CONVÊNIO","2011/057","2011","BANCO DO NORDESTE DO BRASIL S.A","7.970.600,00","FINALIZADO","07/06/2011","07/09/2012"
"2700 - BNB/FCPC-UM MODELO DINAMICO PARA A ATIVIDADE INDUSTRIAL DO NORDESTE BRASILEIRO E SUAS INTERDEPENDÊNCIAS REGIONAIS E EXTERNA","CONVÊNIO","2011/201","2011","BANCO DO NORDESTE DO BRASIL S.A","1.100.000,00","FINALIZADO","15/06/2011","15/06/2012"
"2702 - BNB/FCPC-SEMANA GOURMET CASCAVEL 2011","CONVÊNIO","2011/058","2011","BANCO DO NORDESTE DO BRASIL S.A","96.251,00","FINALIZADO","24/06/2011","24/03/2012"
"2703 - BNB/FCPC-ENCONTRO ENOGASTRONOMICO BRASIL PORTUGAL","CONVÊNIO","2011-198","2011","BANCO DO NORDESTE DO BRASIL S.A","103.534,00","FINALIZADO","24/06/2011","24/03/2012"
"2704 - BNB/FCPC/UFC - UM ESTUDO O IMPACTO DO SISTEMA TRIBUTÁRIO BRASILEIRO NA DISTRIBUIÇÃO DE RENDA NO NORDESTE DO PAÍS","CONVÊNIO","2011/059","2011","BANCO DO NORDESTE DO BRASIL S.A","35.190,00","FINALIZADO","20/06/2011","12/03/2012"
"2705 - BNB/FCPC/UFC - I CICLO DE DEBATES - OS NOVOS RUMOS DA INDÚSTRIA NAVAL BRASILEIRA","CONVÊNIO","NÃO SE APLICA","2011","BANCO DO NORDESTE DO BRASIL S.A","79.220,00","FINALIZADO","15/06/2011","15/08/2012"
